Hours,Interval,Period,Trial,Cage ,Urchins,Level,Detail,Treatment,Kelp_Ind,Drift_Initial,Drift_Remaining,Kelp_Initial,Kelp_Remaining
44,48,1,1,1,20,5,5L,Low,1,150,100,215,210
44,48,1,1,2,20,2,2H,High,2,60,50,330,250
44,48,1,1,3,20,1,1H,High,2,40,30,415,360
44,48,1,1,4,20,High_Control,H_Cntrl,High_Control,2,20,20,375,350
44,48,1,1,5,20,3,3L,Low,1,75,25,130,115
44,48,1,1,6,20,4,4L,Low,1,110,60,115,110
44,48,1,1,7,20,6,6H,High,2,190,155,390,390
44,48,1,1,8,20,Low_Control,L_Cntrl,Low_Control,1,20,20,215,170
44,48,1,1,9,20,7,7L,Low,1,240,190,120,120
44,48,1,1,10,20,3,3H,High,2,80,38,400,320
44,48,1,1,11,20,7,7H,High,2,230,190,320,275
44,48,1,1,12,20,Drift_Control,D_Cntrl,Drift_Control,0,85,50,80,80
44,48,1,1,13,20,1,1L,Low,1,38,25,215,82
44,48,1,1,14,20,8,8H,High,2,270,225,250,235
NA,48,1,1,15,NA,8,8L,Low,1,NA,NA,NA,NA
44,48,1,1,16,20,2,2L,Low,1,60,30,160,115
NA,48,1,1,17,NA,4,4H,High,2,NA,NA,NA,NA
44,48,1,1,18,20,6,6L,Low,1,180,100,150,140
44,48,1,1,19,20,Urchin_Control,U_Cntrl,Urchin_Control,0,20,20,80,80
44,48,1,1,20,20,5,5H,High,2,155,95,320,270
88,48,2,1,1,20,5,5L,Low,1,140,125,205,205
88,48,2,1,2,20,2,2H,High,2,60,40,250,200
88,48,2,1,3,20,1,1H,High,2,55,40,345,320
88,48,2,1,4,20,High_Control,H_Cntrl,High_Control,2,20,20,290,230
88,48,2,1,5,20,3,3L,Low,1,90,70,115,100
88,48,2,1,6,20,4,4L,Low,1,100,80,110,100
NA,48,2,1,7,NA,6,6H,High,2,NA,NA,NA,NA
88,48,2,1,8,20,Low_Control,L_Cntrl,Low_Control,1,20,20,140,100
88,48,2,1,9,20,7,7L,Low,1,235,180,120,110
88,48,2,1,10,20,3,3H,High,2,65,35,320,210
NA,48,2,1,11,NA,7,7H,High,2,NA,NA,NA,NA
88,48,2,1,12,20,Drift_Control,D_Cntrl,Drift_Control,0,100,40,80,80
88,48,2,1,13,20,1,1L,Low,1,60,30,190,160
88,48,2,1,14,20,8,8H,High,2,255,200,235,230
88,48,2,1,15,20,8,8L,Low,1,350,290,170,160
88,48,2,1,16,20,2,2L,Low,1,70,40,100,90
88,48,2,1,17,20,4,4H,High,2,115,95,385,385
88,48,2,1,18,20,6,6L,Low,1,170,110,140,135
88,48,2,1,19,20,Urchin_Control,U_Cntrl,Urchin_Control,0,20,20,80,80
88,48,2,1,20,20,5,5H,High,2,160,110,270,260
