"","key","Drift_Initial","Kelp_Initial","Drift_Consumed","Drift_Remaining","Kelp_Remaining","Urchins"
"10","1_1_5","25","50","20","5","20","20"
"21","1_1_6","45","55","30","15","45","20"
"44","1_1_7","30","50","10","20","50","10"
"56","1_1_8","15","30","5","10","30","10"
"1","1_2_5","35","190","25","10","30","20"
"24","1_2_6","40","160","30","10","140","20"
"34","1_2_7","30","160","10","20","135","10"
"49","1_2_8","15","130","5","10","120","10"
"11","2_1_5","30","30","15","15","10","20"
"16","2_1_6","50","50","25","25","35","20"
"36","2_1_7","40","40","10","30","35","10"
"37","2_1_7","40","70","5","35","70","10"
"15","2_2_5","45","185","35","10","160","20"
"29","2_2_6","60","150","40","20","150","20"
"39","2_2_7","40","140","15","25","120","10"
"57","2_2_8","20","125","5","15","125","10"
"22","3_1_6","60","60","35","25","50","20"
"35","3_1_7","50","50","15","35","40","10"
"54","3_1_8","35","70","15","20","35","10"
"2","3_2_5","45","85","35","10","25","20"
"20","3_2_6","55","245","25","30","215","20"
"46","3_2_7","50","150","10","40","140","10"
"52","3_2_8","30","170","10","20","160","10"
"4","4_1_5","60","50","40","20","30","20"
"27","4_1_6","70","45","40","30","40","20"
"33","4_1_7","65","70","15","50","70","10"
"51","4_1_8","40","65","10","30","55","10"
"3","4_2_5","65","150","45","20","120","20"
"28","4_2_6","70","140","30","40","140","20"
"32","4_2_7","60","120","25","35","120","10"
"47","4_2_8","40","145","10","30","145","10"
"9","5_1_5","60","50","40","20","50","20"
"31","5_1_6","80","35","45","35","35","20"
"40","5_1_7","70","35","20","50","30","10"
"55","5_1_8","50","50","5","45","45","10"
"12","5_2_5","60","220","25","35","195","20"
"26","5_2_6","75","150","35","40","125","20"
"38","5_2_7","65","130","10","55","130","10"
"53","5_2_8","55","100","15","40","100","10"
"13","6_1_5","70","40","40","30","30","20"
"30","6_1_6","95","35","45","50","35","20"
"41","6_1_7","80","45","15","65","45","10"
"62","6_1_8","60","35","10","50","30","10"
"6","6_2_5","70","140","35","35","135","20"
"17","6_2_6","90","170","35","55","145","20"
"43","6_2_7","80","135","20","60","130","10"
"60","6_2_8","65","115","15","50","105","10"
"7","7_1_5","80","45","35","45","30","20"
"19","7_1_6","95","40","45","50","40","20"
"45","7_1_7","90","45","15","75","40","10"
"61","7_1_8","70","45","15","55","45","10"
"14","7_2_5","85","150","45","40","150","20"
"23","7_2_6","100","145","40","60","125","20"
"59","7_2_8","70","135","10","60","130","10"
"5","8_1_5","90","70","30","60","60","20"
"18","8_1_6","100","70","50","50","60","20"
"48","8_1_8","80","60","15","65","60","10"
"58","8_1_8","75","40","15","60","35","10"
"8","8_2_5","95","145","35","60","120","20"
"25","8_2_6","105","160","35","70","135","20"
"42","8_2_7","100","135","10","90","135","10"
"50","8_2_8","80","145","15","65","145","10"
